,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
0,1635,5,4,5-р хорооны зүүн талд,145-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011869000,Esri_Anonymous,1561011896000,,,,11891635.154850243,6085256.661619599,"11891635.154850243,6085256.661619599","(47.87001210890473, 106.82437612774986)"
1,1638,5,6,Цагдаагийн 2-р хэлтсийн зүүн талд,189-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012047000,Esri_Anonymous,1561012073000,,,,11890246.63678939,6084700.270051043,"11890246.63678939,6084700.270051043","(47.86665916678088, 106.81190285778645)"
2,1641,5,9,Нисэх,134-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012264000,Esri_Anonymous,1561012296000,,,,11884521.971880477,6084159.479317102,"11884521.971880477,6084159.479317102","(47.863400030958005, 106.76047731794506)"
3,1650,5,14,Өлзийт тосгон,165-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012994000,Esri_Anonymous,1561013017000,,,,11878660.103360657,6071987.447705,"11878660.103360657,6071987.447705","(47.78998970366175, 106.70781925709652)"
4,1647,5,12,Био комбинат,121-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012657000,Esri_Anonymous,1561012680000,,,,11875169.166392751,6080914.4892333485,"11875169.166392751,6080914.4892333485","(47.84383943133473, 106.67645963675483)"
5,1644,5,10,Өрхийн эмнэлэгийн урд,230-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012446000,Esri_Anonymous,1561012488000,,,,11884526.273700586,6083271.3819014495,"11884526.273700586,6083271.3819014495","(47.858047367993855, 106.76051596185259)"
6,1653,5,16,Буянт-Ухаа 1 хороолол,223-р цэцэрлэг,1,,1,3,6.0,289.0,32.0,150.0,Г.Тунгалаг,2.0,НБГ,,Esri_Anonymous,1561013318000,Esri_Anonymous,1561013387000,2015.0,2015.0,99138050.0,11884810.922353785,6082980.831379531,"11884810.922353785,6082980.831379531","(47.85629606735309, 106.76307300421033)"
7,1639,5,7,60-р сургуулийн зүүн талд,73-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012094000,Esri_Anonymous,1561012124000,,,,11889492.03678507,6084562.954301449,"11889492.03678507,6084562.954301449","(47.86583163747341, 106.80512417061367)"
8,1645,5,10,Буянт-Ухаа 2 хороолол,250-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012525000,Esri_Anonymous,1561012547000,,,,11887613.709049394,6081228.60134375,"11887613.709049394,6081228.60134375","(47.84573320227274, 106.78825086547825)"
9,1636,5,5,41-р сургуулийн зүүн талд,29-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011920000,Esri_Anonymous,1561011954000,,,,11891017.388511214,6085267.709096525,"11891017.388511214,6085267.709096525","(47.870078681316826, 106.8188266383062)"
10,1642,5,10,10-р хорооны ард,49-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012340000,Esri_Anonymous,1561012369000,,,,11884208.18241129,6083123.309879155,"11884208.18241129,6083123.309879155","(47.857154867515085, 106.75765849918339)"
11,1648,5,12,326-р цэргийн замын урд,190-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012771000,Esri_Anonymous,1561012880000,,,,11873251.284934856,6078053.950078822,"11873251.284934856,6078053.950078822","(47.8265901588481, 106.65923101448729)"
12,1637,5,5,41-р сургуулийн зүүн талд,71-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011960000,Esri_Anonymous,1561011982000,,,,11891057.69697798,6085224.414710714,"11891057.69697798,6085224.414710714","(47.86981778761988, 106.81918873542396)"
13,1643,5,10,Морингийн даваа,219-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012384000,Esri_Anonymous,1561012410000,,,,11880152.941062752,6081027.238520853,"11880152.941062752,6081027.238520853","(47.84451920080415, 106.72122964634153)"
14,1654,5,16,Нисэх,243-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561013432000,Esri_Anonymous,1561013455000,,,,11886286.700635497,6083175.373967002,"11886286.700635497,6083175.373967002","(47.85746868427753, 106.77633014607466)"
15,1640,5,8,118-р сургуулийн ард,209-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012153000,Esri_Anonymous,1561012193000,,,,11888435.217680309,6083960.473579994,"11888435.217680309,6083960.473579994","(47.86220064905317, 106.79563060307012)"
0,1234,3,11,Ургах наран,200-р цэцэрлэг,1,,1,3,,,,100.0,,2.0,,,Esri_Anonymous,1560903292000,Esri_Anonymous,1560903387000,,,,11924145.26954234,6085936.002822512,"11924145.26954234,6085936.002822512","(47.87410567937968, 107.11641945691375)"
1,1211,3,4,Сэлэнгэ зочид буудлын урд,191-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902005000,Esri_Anonymous,1560902058000,,,,11905383.062017435,6093839.861953966,"11905383.062017435,6093839.861953966","(47.92170894438699, 106.9478756790793)"
2,856,6,1,1-р эмнэлэгийн баруун хойно,16-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851285000,Esri_Anonymous,1560851312000,,,,11902572.89801507,6092986.709859163,"11902572.89801507,6092986.709859163","(47.91657269766953, 106.92263154633723)"
3,2422,3,21,127-р сургуулийн ард,199-р цэцэрлэг,1,,1,3,,,,200.0,,2.0,,,Esri_Anonymous,1561279391000,Esri_Anonymous,1561279418000,,,,11905026.751336439,6099076.701952233,"11905026.751336439,6099076.701952233","(47.95322521447854, 106.94467488577295)"
4,1606,7,14,5 буудлын баруун талд,126-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996312000,Esri_Anonymous,1560996340000,,,,11901217.319333022,6099751.428063578,"11901217.319333022,6099751.428063578","(47.95728444376864, 106.91045417584812)"
5,1652,5,3,18-р сургуулийн баруун урд,28-р цэцэрлэг,1,,3,4,,,,,,,,,Esri_Anonymous,1561013237000,Esri_Anonymous,1561013282000,,,,11899402.730449947,6090150.387325713,"11899402.730449947,6090150.387325713","(47.899493469104414, 106.89415344656751)"
6,862,6,10,10-р хорооны баруун урд,17-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851588000,Esri_Anonymous,1560851620000,,,,11902560.749692708,6095346.156668994,"11902560.749692708,6095346.156668994","(47.93077607233913, 106.92252241610069)"
7,2004,1,12,,197-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561107272000,Esri_Anonymous,1561107294000,,,,11897645.747046895,6094604.436068635,"11897645.747046895,6094604.436068635","(47.926311490267835, 106.87837019611848)"
8,865,6,10,16-р сургуулийн зүүн талд,234-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851731000,Esri_Anonymous,1560851754000,,,,11902557.76386678,6095605.027380457,"11902557.76386678,6095605.027380457","(47.93233418228254, 106.92249559397001)"
9,1220,3,28,Хужирбулан,203-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902525000,Esri_Anonymous,1560902547000,,,,11920335.192552464,6093302.525001875,"11920335.192552464,6093302.525001875","(47.918474064627844, 107.08219295297697)"
10,2010,1,15,,161-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108452000,Esri_Anonymous,1561108468000,,,,11898541.724802459,6094304.244550705,"11898541.724802459,6094304.244550705","(47.924504460872036, 106.88641890123901)"
11,848,6,4,11-р сургуулийн зүүн талд,1-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560850778000,Esri_Anonymous,1560850808000,,,,11899958.590071492,6092629.602108364,"11899958.590071492,6092629.602108364","(47.91442264414148, 106.89914681850611)"
12,1240,7,4,,37-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903699000,Esri_Anonymous,1560903714000,,,,11901528.518540824,6094285.479470146,"11901528.518540824,6094285.479470146","(47.924391500713256, 106.91324972589587)"
13,1228,3,9,Шархадны эцэс,3-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902999000,Esri_Anonymous,1560903018000,,,,11911824.265816294,6095889.927796806,"11911824.265816294,6095889.927796806","(47.93404890745148, 107.00573799728573)"
14,1632,5,3,Дүүргийн ЗДТГ-ын урд,41-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011535000,Esri_Anonymous,1561011565000,,,,11899461.862738082,6089750.064203857,"11899461.862738082,6089750.064203857","(47.897082425445156, 106.89468464094969)"
15,1618,7,3,Мандухай зочид буудлын урд,19-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560997923000,Esri_Anonymous,1560997972000,,,,11900407.867479648,6093099.158451821,"11900407.867479648,6093099.158451821","(47.91724970310554, 106.90318274613169)"
16,2416,3,23,Улиастайн хуучин эцэс,6-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279013000,Esri_Anonymous,1561279037000,,,,11915029.50952025,6092476.371865677,"11915029.50952025,6092476.371865677","(47.913500057036934, 107.03453119137166)"
17,1626,7,7,7-р хорооны баруун талд,173-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560999853000,Esri_Anonymous,1560999889000,,,,11898918.720533537,6095894.590816987,"11898918.720533537,6095894.590816987","(47.93407697221682, 106.88980551151177)"
18,2419,3,27,,45-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279193000,Esri_Anonymous,1561279211000,,,,11904089.419252446,6096162.971486628,"11904089.419252446,6096162.971486628","(47.93569221738718, 106.93625468839949)"
19,1609,7,16,Согоотын 65-р гудамж,221-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996493000,Esri_Anonymous,1560996526000,,,,11898452.822978426,6101258.179865313,"11898452.822978426,6101258.179865313","(47.96634808337901, 106.88562028256585)"
20,2425,3,24,,251-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279565000,Esri_Anonymous,1561279579000,,,,11910118.437805165,6094844.760900974,"11910118.437805165,6094844.760900974","(47.92775810135404, 106.99041428354097)"
21,859,6,8,Спортын ордны зүүн талд,42-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851429000,Esri_Anonymous,1560851459000,,,,11902912.063749386,6093455.79697698,"11902912.063749386,6093455.79697698","(47.919396814287495, 106.92567832396708)"
22,1214,3,5,Кино үйлдвэр,146-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902174000,Esri_Anonymous,1560902213000,,,,11906513.960517908,6093507.706351696,"11906513.960517908,6093507.706351696","(47.919709322728714, 106.95803471315692)"
23,1655,5,3,18-р сургуулийн баруун урд,4-р клиник сувилал,1,,1,3,,,,,,,,,Esri_Anonymous,1561013510000,Esri_Anonymous,1561013540000,,,,11899453.049161844,6090104.222881887,"11899453.049161844,6090104.222881887","(47.89921543820713, 106.89460546724726)"
24,1603,7,12,Нийслэлийн Хот тохижилтын газрын хашаанд,154-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996022000,Esri_Anonymous,1560996053000,,,,11899640.69909046,6098298.338744001,"11899640.69909046,6098298.338744001","(47.94854209645541, 106.89629115523668)"
25,1646,5,11,"Зайсан, ХААИС-ын баруун талд",35-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561012597000,Esri_Anonymous,1561012625000,,,,11901004.358587783,6087714.635161284,"11901004.358587783,6087714.635161284","(47.88482182071898, 106.90854111692447)"
26,1208,3,3,Тунел дээр,61-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901860000,Esri_Anonymous,1560901885000,,,,11904340.392414736,6093891.626055369,"11904340.392414736,6093891.626055369","(47.922020564318686, 106.93850921867538)"
27,1217,3,8,ДХИС-ийн урд,32-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902326000,Esri_Anonymous,1560902348000,,,,11910869.445087776,6092480.344559381,"11910869.445087776,6092480.344559381","(47.91352397651747, 106.99716069674551)"
28,1243,1,3,Хараагүйчүүдийн  байрны зүүн талд,100-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560915579000,Esri_Anonymous,1560915637000,,,,11899761.720383199,6090800.388070891,"11899761.720383199,6090800.388070891","(47.90340801800147, 106.89737830800638)"
29,1629,5,2,19-н үйлчилгээний төвийн баруун урд,72-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011338000,Esri_Anonymous,1561011372000,,,,11900116.98704317,6090409.581670858,"11900116.98704317,6090409.581670858","(47.90105447039556, 106.90056972271229)"
30,1237,3,4,,201-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903487000,Esri_Anonymous,1560903505000,,,,11906068.950304039,6096019.587040592,"11906068.950304039,6096019.587040592","(47.93482926645446, 106.95403711838983)"
31,2013,1,18,,11-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108650000,Esri_Anonymous,1561108662000,,,,11898673.69622553,6093693.794298876,"11898673.69622553,6093693.794298876","(47.92082960686501, 106.88760442070313)"
32,1231,3,18,13-р хороолол,129-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903114000,Esri_Anonymous,1560903135000,,,,11904694.721543413,6092896.641906079,"11904694.721543413,6092896.641906079","(47.91603043021317, 106.94169221139438)"
33,854,6,1,Баянгол зочид буудлын ард,143-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851122000,Esri_Anonymous,1560851180000,,,,11901406.604303427,6092261.790326775,"11901406.604303427,6092261.790326775","(47.91220805101052, 106.91215455166781)"
34,1209,3,3,Тунел дээр,50-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901901000,Esri_Anonymous,1560901919000,,,,11904530.290542727,6093809.121444769,"11904530.290542727,6093809.121444769","(47.92152388560872, 106.9402151025834)"
35,2420,3,6,,59-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279232000,Esri_Anonymous,1561279249000,,,,11903648.87267171,6093157.488196847,"11903648.87267171,6093157.488196847","(47.917600878350655, 106.93229719113108)"
36,1610,7,16,Согоотын 47-р гудамж,246-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560997027000,Esri_Anonymous,1560997058000,,,,11898669.208793031,6101642.455065059,"11898669.208793031,6101642.455065059","(47.96865937874344, 106.88756410941112)"
37,1633,5,3,15-р сургуулийн баруун талд,46-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011596000,Esri_Anonymous,1561011621000,,,,11899801.350691639,6090382.162611384,"11899801.350691639,6090382.162611384","(47.900889340981976, 106.89773431312423)"
38,860,6,7,11-р хороолол,135-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851502000,Esri_Anonymous,1560851523000,,,,11903270.997627271,6094663.694543262,"11903270.997627271,6094663.694543262","(47.926668194436644, 106.92890268185201)"
39,1215,3,5,Кино үйлдвэр,52-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902223000,Esri_Anonymous,1560902240000,,,,11906586.266176565,6093429.4103967715,"11906586.266176565,6093429.4103967715","(47.919237959231715, 106.9586842459399)"
40,1203,6,15,58-р сургуулийн баруун талд,109-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560901424000,Esri_Anonymous,1560901480000,,,,11903707.210672487,6103183.353318946,"11903707.210672487,6103183.353318946","(47.97792636179408, 106.9328212503085)"
41,1604,7,12,Автобусны эцсийн буудал,220-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560996141000,Esri_Anonymous,1560996164000,,,,11898652.54788157,6098739.178602654,"11898652.54788157,6098739.178602654","(47.951194515825804, 106.887414441897)"
42,1246,1,4,Ханбүргэдэй дэлгүүрийн зүүн талд,164-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560915783000,Esri_Anonymous,1560915817000,,,,11897916.407755973,6092191.846024604,"11897916.407755973,6092191.846024604","(47.911786905947224, 106.88080158263622)"
43,2008,1,14,,85-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108391000,Esri_Anonymous,1561108405000,,,,11897665.184765631,6094274.959134421,"11897665.184765631,6094274.959134421","(47.9243281713385, 106.87854480811676)"
44,2002,1,11,28-р сургуулийн ард,57-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561107053000,Esri_Anonymous,1561107102000,,,,11898225.074530765,6095062.370475177,"11898225.074530765,6095062.370475177","(47.929067945330466, 106.88357438345118)"
45,1238,7,6,50-р сургуулийн баруун талд,108-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903559000,Esri_Anonymous,1560903584000,,,,11900614.670034213,6094640.081877145,"11900614.670034213,6094640.081877145","(47.926526059172055, 106.90504048508728)"
46,1226,3,16,16-р хороолол,82-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902860000,Esri_Anonymous,1560902880000,,,,11909264.02679444,6093494.074831754,"11909264.02679444,6093494.074831754","(47.91962725748358, 106.98273897884242)"
47,1630,5,2,19-н үйчилгээний төвийн зүүн урд,65-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011384000,Esri_Anonymous,1561011409000,,,,11900466.925375337,6090492.288920854,"11900466.925375337,6090492.288920854","(47.90155256597103, 106.90371327223514)"
48,1232,3,18,13-р хороолол,147-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903150000,Esri_Anonymous,1560903168000,,,,11904236.696464766,6092559.244109866,"11904236.696464766,6092559.244109866","(47.91399902627065, 106.9375777021078)"
49,1624,7,9,Хорооны баруун талд,43-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560999338000,Esri_Anonymous,1560999363000,,,,11900373.224547088,6096000.369270384,"11900373.224547088,6096000.369270384","(47.93471360432987, 106.90287154337362)"
50,2016,1,18,,88-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108772000,Esri_Anonymous,1561108788000,,,,11898327.238777759,6093812.220919363,"11898327.238777759,6093812.220919363","(47.92154254456784, 106.88449214049683)"
51,1212,3,5,БЗД-ийн Нэгдсэн эмнэлэгийн баруун хойно,115-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902080000,Esri_Anonymous,1560902121000,,,,11907082.5915271,6093632.048869039,"11907082.5915271,6093632.048869039","(47.92045789055487, 106.96314281242275)"
